RUN	DATE	JOE	BILL	JACK	JOHN
76	29.05.2016	10424	10569	11003	10721
77	30.05.2016	10436	10549	10894	10541
78	31.05.2016	10427	10562	10903	10579
79	1.06.2016	10426	10557	11006	10749
80	2.06.2016	10426	10555	10865	10633
81	3.06.2016	10423	10548	11024	10676
82	4.06.2016	10432	10545	10875	10559
83	5.06.2016	10421	10559	10976	10751
84	6.06.2016	10416	10558	10871	10530
85	7.06.2016	10416	10546	10977	10553
86	8.06.2016	10413	10551	10905	10675
87	9.06.2016	10396	10532	10833	10538
88	10.06.2016	10398	10534	11004	10598
89	11.06.2016	10419	10542	10970	10654
90	12.06.2016	10403	10532	10881	10692
91	13.06.2016	10405	10522	11005	10678
92	14.06.2016	10396	10534	10948	10573
93	15.06.2016	10411	10522	11001	10701
94	16.06.2016	10391	10515	10831	10546
95	17.06.2016	10405	10523	10826	10632
96	18.06.2016	10405	10517	10998	10542
97	19.06.2016	10403	10525	10976	10696
98	20.06.2016	10395	10517	10847	10499
99	21.06.2016	10389	10514	10969	10642
100	22.06.2016	10384	10504	10804	10549
101	23.06.2016	10397	10506	10970	10724
102	24.06.2016	10382	10518	10858	10641
103	25.06.2016	10379	10504	10920	10607
104	26.06.2016	10389	10502	10825	10666
105	27.06.2016	10385	10499	10925	10613
106	28.06.2016	10392	10500	10892	10682
107	29.06.2016	10373	10502	10925	10664
108	30.06.2016	10369	10489	10897	10538
109	1.07.2016	10382	10487	10833	10620
110	2.07.2016	10380	10490	10898	10646
111	3.07.2016	10368	10491	10885	10637
112	4.07.2016	10361	10493	10877	10624
113	5.07.2016	10375	10486	10871	10586
114	6.07.2016	10370	10484	10825	10591
115	7.07.2016	10375	10499	10805	10548
116	8.07.2016	10371	10498	10964	10592
117	9.07.2016	10382	10487	10827	10557
118	10.07.2016	10374	10500	10790	10606
119	11.07.2016	10375	10484	10823	10475
120	12.07.2016	10356	10490	10828	10476
121	13.07.2016	10354	10473	10800	10494
122	14.07.2016	10357	10481	10776	10527
123	15.07.2016	10380	10493	10909	10578
124	16.07.2016	10367	10474	10794	10581
125	17.07.2016	10360	10484	10767	10497
126	18.07.2016	10347	10464	10906	10622
127	19.07.2016	10344	10467	10842	10644
128	20.07.2016	10343	10469	10812	10519
129	21.07.2016	10370	10467	10945	10556
130	22.07.2016	10350	10474	10957	10551
131	23.07.2016	10354	10472	10903	10583
132	24.07.2016	10360	10462	10943	10617
133	25.07.2016	10348	10481	10960	10563
134	26.07.2016	10364	10474	10798	10503
135	27.07.2016	10353	10464	10837	10542
136	28.07.2016	10356	10466	10886	10556
137	29.07.2016	10358	10474	10859	10501
138	30.07.2016	10354	10462	10844	10621
139	31.07.2016	10365	10467	10906	10546
140	1.08.2016	10364	10464	10956	10658
141	2.08.2016	10350	10467	10847	10641
142	3.08.2016	10351	10475	10948	10549
143	4.08.2016	10349	10462	10867	10645
144	5.08.2016	10354	10470	10942	10498
145	6.08.2016	10366	10475	10866	10616
146	7.08.2016	10355	10469	10805	10495
147	8.08.2016	10357	10466	10825	10643
148	9.08.2016	10351	10475	10934	10676
149	10.08.2016	10353	10463	10908	10515
150	11.08.2016	10359	10462	10811	10642
151	12.08.2016	10355	10470	10947	10587
152	13.08.2016	10354	10463	10845	10511
153	14.08.2016	10365	10460	10877	10507
154	15.08.2016	10347	10469	10912	10628
155	16.08.2016	10371	10479	10910	10513
156	17.08.2016	10368	10475	10880	10479
157	18.08.2016	10362	10461	10898	10474
158	19.08.2016	10355	10460	10952	10669
159	20.08.2016	10371	10460	10842	10537
160	21.08.2016	10370	10468	10797	10492
161	22.08.2016	10361	10472	10926	10524
162	23.08.2016	10366	10478	10851	10546
163	24.08.2016	10357	10473	10936	10642
164	25.08.2016	10356	10476	10889	10636
165	26.08.2016	10361	10477	10933	10528
166	27.08.2016	10360	10461	10902	10674
167	28.08.2016	10365	10478	10805	10504
168	29.08.2016	10364	10474	10827	10478
169	30.08.2016	10359	10476	10817	10606
170	31.08.2016	10354	10474	10842	10621
171	1.09.2016	10357	10464	10785	10545
172	2.09.2016	10373	10469	10789	10593
173	3.09.2016	10350	10451	10839	10537
174	4.09.2016	10344	10437	10827	10552
175	5.09.2016	10342	10437	10918	10592
176	6.09.2016	10312	10422	10896	10538
177	7.09.2016	10318	10420	10861	10545
178	8.09.2016	10308	10411	10910	10457
179	9.09.2016	10317	10406	10791	10439
180	10.09.2016	10302	10407	10745	10581
181	11.09.2016	10312	10397	10869	10455
182	12.09.2016	10302	10393	10763	10568
183	13.09.2016	10293	10391	10796	10458
184	14.09.2016	10297	10388	10696	10469
185	15.09.2016	10291	10385	10712	10405
186	16.09.2016	10269	10376	10709	10392
187	17.09.2016	10275	10374	10841	10539
188	18.09.2016	10276	10377	10779	10513
189	19.09.2016	10273	10381	10684	10459
190	20.09.2016	10265	10366	10838	10406
191	21.09.2016	10266	10368	10730	10382
192	22.09.2016	10274	10364	10697	10501
193	23.09.2016	10256	10367	10831	10540
194	24.09.2016	10255	10351	10775	10474
195	25.09.2016	10266	10365	10803	10494
196	26.09.2016	10281	10367	10796	10399
197	27.09.2016	10273	10368	10702	10526
198	28.09.2016	10284	10364	10763	10458
199	29.09.2016	10271	10364	10789	10569
200	30.09.2016	10286	10372	10846	10431
201	1.10.2016	10267	10355	10683	10498
202	2.10.2016	10261	10346	10741	10413
203	3.10.2016	10261	10349	10779	10381
204	4.10.2016	10264	10353	10728	10404
205	5.10.2016	10262	10343	10673	10406
206	6.10.2016	10257	10346	10713	10503
207	7.10.2016	10256	10346	10685	10520
208	8.10.2016	10232	10328	10753	10366
209	9.10.2016	10253	10349	10669	10325
210	10.10.2016	10243	10335	10679	10407
211	11.10.2016	10259	10357	10678	10515
212	12.10.2016	10256	10361	10737	10382
213	13.10.2016	10249	10341	10800	10426
214	14.10.2016	10255	10356	10798	10524
215	15.10.2016	10246	10347	10700	10355
216	16.10.2016	10246	10345	10704	10452
217	17.10.2016	10245	10333	10662	10440
218	18.10.2016	10247	10335	10800	10506
219	19.10.2016	10257	10333	10785	10556
220	20.10.2016	10253	10345	10728	10528
221	21.10.2016	10254	10326	10717	10395
222	22.10.2016	10245	10330	10719	10342
223	23.10.2016	10250	10325	10672	10336
224	24.10.2016	10241	10321	10791	10366
225	25.10.2016	10230	10328	10823	10431
226	26.10.2016	10232	10332	10726	10510
227	27.10.2016	10234	10330	10815	10429
228	28.10.2016	10230	10319	10642	10392
229	29.10.2016	10231	10320	10697	10455
230	30.10.2016	10225	10312	10770	10441
231	31.10.2016	10229	10306	10792	10398
232	1.11.2016	10235	10315	10814	10400
233	2.11.2016	10227	10319	10639	10313
234	3.11.2016	10214	10310	10785	10415
235	4.11.2016	10208	10310	10667	10467
236	5.11.2016	10225	10303	10758	10481
237	6.11.2016	10223	10292	10662	10408
238	7.11.2016	10219	10291	10694	10357
239	8.11.2016	10233	10315	10642	10362
240	9.11.2016	10227	10324	10664	10434
241	10.11.2016	10221	10323	10758	10510
242	11.11.2016	10243	10320	10723	10418
243	12.11.2016	10233	10327	10838	10475
244	13.11.2016	10235	10324	10749	10476
245	14.11.2016	10241	10332	10812	10518
246	15.11.2016	10212	10280	10793	10460
247	16.11.2016	10200	10278	10742	10489
248	17.11.2016	10206	10287	10677	10438
249	18.11.2016	10207	10278	10741	10334
250	19.11.2016	10191	10273	10777	10465
251	20.11.2016	10191	10276	10654	10403
252	21.11.2016	10192	10277	10688	10377
253	22.11.2016	10190	10284	10764	10357
254	23.11.2016	10192	10280	10697	10372
255	24.11.2016	10182	10271	10675	10446
256	25.11.2016	10199	10275	10713	10355
257	26.11.2016	10189	10264	10624	10412
258	27.11.2016	10179	10275	10639	10277
259	28.11.2016	10176	10257	10639	10267
260	29.11.2016	10181	10266	10751	10395
261	30.11.2016	10184	10260	10624	10363
262	1.12.2016	10171	10242	10653	10441
263	2.12.2016	10176	10251	10715	10453
264	3.12.2016	10180	10251	10738	10356
265	4.12.2016	10177	10250	10732	10394
266	5.12.2016	10179	10243	10695	10340
267	6.12.2016	10158	10241	10731	10327
268	7.12.2016	10163	10235	10582	10369
269	8.12.2016	10168	10232	10760	10387
270	9.12.2016	10164	10247	10629	10420
271	10.12.2016	10159	10235	10724	10399
272	11.12.2016	10150	10242	10625	10384
273	12.12.2016	10161	10237	10604	10235
274	13.12.2016	10152	10222	10625	10427
275	14.12.2016	10159	10234	10658	10388
276	15.12.2016	10156	10234	10714	10436
277	16.12.2016	10143	10230	10737	10367
278	17.12.2016	10144	10213	10587	10384
279	18.12.2016	10143	10227	10754	10383
280	19.12.2016	10142	10228	10694	10369
281	20.12.2016	10150	10218	10684	10302
282	21.12.2016	10134	10222	10735	10364
283	22.12.2016	10135	10205	10696	10391
284	23.12.2016	10141	10214	10719	10287
285	24.12.2016	10138	10205	10669	10365
286	25.12.2016	10142	10199	10629	10233
287	26.12.2016	10130	10207	10711	10439
288	27.12.2016	10134	10195	10539	10370
289	28.12.2016	10120	10199	10727	10369
290	29.12.2016	10139	10223	10696	10442
291	30.12.2016	10135	10218	10588	10360
292	31.12.2016	10143	10208	10603	10403
293	1.01.2017	10145	10216	10593	10285
294	2.01.2017	10134	10193	10723	10417
295	3.01.2017	10135	10204	10629	10383
296	4.01.2017	10123	10195	10716	10376
297	5.01.2017	10134	10194	10649	10329
298	6.01.2017	10145	10216	10572	10308
299	7.01.2017	10127	10194	10717	10250
300	8.01.2017	10119	10191	10684	10405
301	9.01.2017	10124	10181	10663	10245
302	10.01.2017	10123	10189	10618	10279
303	11.01.2017	10126	10191	10605	10299
304	12.01.2017	10120	10189	10597	10330
305	13.01.2017	10119	10181	10610	10387
306	14.01.2017	10124	10183	10654	10403
307	15.01.2017	10115	10181	10605	10335
308	16.01.2017	10122	10178	10616	10272
309	17.01.2017	10116	10185	10708	10241
310	18.01.2017	10123	10192	10577	10304
311	19.01.2017	10108	10179	10588	10228
312	20.01.2017	10110	10177	10541	10179
313	21.01.2017	10119	10197	10568	10274
314	22.01.2017	10120	10190	10575	10316
315	23.01.2017	10129	10186	10627	10338
316	24.01.2017	10113	10190	10677	10318
317	25.01.2017	10112	10179	10672	10264
318	26.01.2017	10115	10190	10534	10336
319	27.01.2017	10115	10174	10551	10243
320	28.01.2017	10114	10196	10561	10364
321	29.01.2017	10120	10178	10595	10340
322	30.01.2017	10109	10183	10609	10265
323	31.01.2017	10117	10181	10567	10231
324	1.02.2017	10121	10183	10603	10276
325	2.02.2017	10122	10182	10562	10328
326	3.02.2017	10121	10183	10688	10311
327	4.02.2017	10118	10183	10540	10381
328	5.02.2017	10129	10186	10657	10334
329	6.02.2017	10126	10191	10619	10312
330	7.02.2017	10116	10180	10708	10379
331	8.02.2017	10124	10179	10688	10285
332	9.02.2017	10135	10180	10590	10402
333	10.02.2017	10132	10175	10632	10391
334	11.02.2017	10133	10190	10703	10333
335	12.02.2017	10126	10192	10678	10419
336	13.02.2017	10125	10194	10644	10232
337	14.02.2017	10119	10182	10647	10250
338	15.02.2017	10129	10172	10658	10281
339	16.02.2017	10137	10182	10566	10213
340	17.02.2017	10129	10184	10676	10411
341	18.02.2017	10134	10179	10691	10255
342	19.02.2017	10128	10189	10621	10286
343	20.02.2017	10137	10186	10720	10429
344	21.02.2017	10127	10180	10637	10329
345	22.02.2017	10116	10187	10698	10293
346	23.02.2017	10130	10177	10554	10195
347	24.02.2017	10124	10190	10565	10304
348	25.02.2017	10104	10167	10691	10333
349	26.02.2017	10102	10166	10621	10346
350	27.02.2017	10108	10143	10561	10282
351	28.02.2017	10080	10126	10518	10198
352	1.03.2017	10084	10147	10514	10211
353	2.03.2017	10070	10130	10656	10225
354	3.03.2017	10079	10135	10625	10188
355	4.03.2017	10065	10135	10529	10242
356	5.03.2017	10072	10130	10621	10207
357	6.03.2017	10062	10125	10655	10224
358	7.03.2017	10063	10104	10583	10266
359	8.03.2017	10055	10101	10638	10252
360	9.03.2017	10053	10108	10632	10277
361	10.03.2017	10048	10085	10633	10307
362	11.03.2017	10051	10103	10589	10291
363	12.03.2017	10045	10088	10641	10190
364	13.03.2017	10045	10085	10569	10248
365	14.03.2017	10047	10099	10466	10164
366	15.03.2017	10023	10091	10587	10222
367	16.03.2017	10027	10083	10497	10203
368	17.03.2017	10025	10082	10447	10270
369	18.03.2017	10018	10075	10606	10314
370	19.03.2017	10032	10083	10595	10152
371	20.03.2017	10029	10091	10547	10281
372	21.03.2017	10043	10083	10485	10201
373	22.03.2017	10031	10091	10579	10283
374	23.03.2017	10029	10084	10643	10221
375	24.03.2017	10034	10097	10558	10232
376	25.03.2017	10025	10073	10549	10130
377	26.03.2017	10015	10062	10460	10123
378	27.03.2017	10013	10075	10558	10191
379	28.03.2017	10028	10062	10463	10115
380	29.03.2017	10021	10059	10589	10130
381	30.03.2017	10013	10062	10470	10147
382	31.03.2017	10023	10062	10502	10221
383	1.04.2017	10011	10060	10445	10212
384	2.04.2017	10020	10061	10523	10122
385	3.04.2017	10013	10067	10498	10187
386	4.04.2017	10014	10070	10495	10191
387	5.04.2017	10002	10047	10609	10276
388	6.04.2017	10014	10053	10558	10212
389	7.04.2017	9999	10058	10465	10216
390	8.04.2017	10010	10038	10462	10200
391	9.04.2017	9998	10050	10509	10192
392	10.04.2017	9992	10044	10592	10185
393	11.04.2017	9997	10032	10578	10268
394	12.04.2017	9995	10043	10567	10235
395	13.04.2017	9999	10035	10421	10245
396	14.04.2017	9988	10039	10460	10179
397	15.04.2017	9988	10033	10589	10223
398	16.04.2017	10006	10038	10572	10157
399	17.04.2017	9996	10031	10598	10164
400	18.04.2017	10004	10044	10613	10141
401	19.04.2017	9992	10042	10597	10210
402	20.04.2017	10012	10051	10583	10212
403	21.04.2017	10000	10048	10507	10134
404	22.04.2017	10011	10042	10500	10248
405	23.04.2017	10004	10040	10564	10135
406	24.04.2017	10008	10053	10587	10182
407	25.04.2017	10010	10045	10414	10236
408	26.04.2017	10009	10036	10554	10270
409	27.04.2017	10003	10034	10610	10136
410	28.04.2017	9991	10044	10521	10145
411	29.04.2017	9995	10027	10497	10228
412	30.04.2017	9988	10025	10583	10162
413	1.05.2017	9992	10039	10516	10107
414	2.05.2017	9993	10038	10502	10170
415	3.05.2017	9996	10034	10495	10108
416	4.05.2017	9982	10023	10573	10133
417	5.05.2017	9984	10015	10544	10089
418	6.05.2017	9977	10016	10504	10213
419	7.05.2017	9981	10021	10585	10114
420	8.05.2017	9977	10007	10418	10083
421	9.05.2017	9975	10015	10435	10136
422	10.05.2017	9980	10014	10532	10174
423	11.05.2017	9969	10001	10484	10056
424	12.05.2017	9966	10010	10502	10192
425	13.05.2017	9976	9996	10514	10158
426	14.05.2017	9978	10009	10427	10151
427	15.05.2017	9963	9999	10481	10131
428	16.05.2017	9968	10005	10530	10105
429	17.05.2017	9973	10005	10473	10173
430	18.05.2017	9965	9991	10499	10237
431	19.05.2017	9966	9986	10427	10147
432	20.05.2017	9954	10003	10567	10194
433	21.05.2017	9958	9989	10378	10166
434	22.05.2017	9958	9992	10471	10165
435	23.05.2017	9954	9991	10457	10065
436	24.05.2017	9950	9985	10431	10184
437	25.05.2017	9948	9989	10519	10151
438	26.05.2017	9956	9990	10483	10180
439	27.05.2017	9957	9979	10549	10185
440	28.05.2017	9957	9986	10482	10181
441	29.05.2017	9938	9977	10385	10152
442	30.05.2017	9945	9976	10400	10022
443	31.05.2017	9934	9965	10371	10141
444	1.06.2017	9938	9964	10474	10062
445	2.06.2017	9949	9963	10482	10089
446	3.06.2017	9936	9965	10497	10223
447	4.06.2017	9945	9965	10532	10213
448	5.06.2017	9944	9967	10421	10043
449	6.06.2017	9931	9968	10485	10196
450	7.06.2017	9935	9963	10480	10052
451	8.06.2017	9937	9965	10524	10182
452	9.06.2017	9930	9960	10485	10047
453	10.06.2017	9938	9964	10365	10051
454	11.06.2017	9935	9945	10397	10012
455	12.06.2017	9918	9948	10392	10057
456	13.06.2017	9917	9948	10407	10082
457	14.06.2017	9911	9939	10454	10128
458	15.06.2017	9914	9942	10334	10121
459	16.06.2017	9907	9937	10374	10060
460	17.06.2017	9924	9949	10327	10054
461	18.06.2017	9921	9940	10476	10050
462	19.06.2017	9903	9934	10327	10120
463	20.06.2017	9913	9925	10359	10057
464	21.06.2017	9904	9928	10392	10168
465	22.06.2017	9924	9946	10529	10109
466	23.06.2017	9927	9958	10467	10092
467	24.06.2017	9924	9957	10476	10180
468	25.06.2017	9929	9950	10493	10078
469	26.06.2017	9924	9953	10511	10139
470	27.06.2017	9929	9967	10543	10212
471	28.06.2017	9938	9950	10400	10061
472	29.06.2017	9906	9923	10459	10082
473	30.06.2017	9908	9911	10512	10206
474	1.07.2017	9900	9930	10450	10010
475	2.07.2017	9889	9912	10443	10125
476	3.07.2017	9890	9910	10377	10044
477	4.07.2017	9891	9919	10346	10031
478	5.07.2017	9884	9911	10356	9956
479	6.07.2017	9889	9912	10482	10089
480	7.07.2017	9895	9909	10437	9996
481	8.07.2017	9890	9912	10430	10104
482	9.07.2017	9890	9899	10392	10069
483	10.07.2017	9880	9900	10461	10035
484	11.07.2017	9886	9898	10475	10050
485	12.07.2017	9875	9894	10368	10059
486	13.07.2017	9878	9893	10388	10037
487	14.07.2017	9882	9898	10343	10065
488	15.07.2017	9870	9881	10420	10018
489	16.07.2017	9862	9874	10473	9984
490	17.07.2017	9864	9881	10347	10074
491	18.07.2017	9880	9886	10400	10124
492	19.07.2017	9860	9876	10409	10025
493	20.07.2017	9864	9881	10339	10073
494	21.07.2017	9857	9873	10437	10102
495	22.07.2017	9858	9865	10334	10075
496	23.07.2017	9867	9880	10337	10125
497	24.07.2017	9872	9888	10290	9968
498	25.07.2017	9882	9883	10447	10007
499	26.07.2017	9876	9893	10334	10071
500	27.07.2017	9883	9880	10310	10077
501	28.07.2017	9885	9886	10291	9947
502	29.07.2017	9869	9885	10393	10047
503	30.07.2017	9879	9886	10489	10037
504	31.07.2017	9888	9902	10455	10075
505	1.08.2017	9889	9897	10456	10091
506	2.08.2017	9889	9894	10473	10005
507	3.08.2017	9878	9902	10434	10037
508	4.08.2017	9903	9906	10416	10097
509	5.08.2017	9876	9890	10404	9990
510	6.08.2017	9878	9893	10433	10068
511	7.08.2017	9892	9890	10418	10147
512	8.08.2017	9871	9886	10317	10095
513	9.08.2017	9868	9877	10326	9943
514	10.08.2017	9866	9879	10400	9994
515	11.08.2017	9868	9872	10421	9986
516	12.08.2017	9868	9876	10442	10147
517	13.08.2017	9861	9886	10329	10002
518	14.08.2017	9860	9869	10287	10082
519	15.08.2017	9862	9880	10448	10047
520	16.08.2017	9854	9853	10417	9973
521	17.08.2017	9871	9870	10339	10008
522	18.08.2017	9852	9867	10326	10006
523	19.08.2017	9837	9855	10275	10035
524	20.08.2017	9881	9873	10344	9993
525	21.08.2017	9863	9875	10286	10022
526	22.08.2017	9863	9869	10463	10027
527	23.08.2017	9877	9885	10414	9989
528	24.08.2017	9868	9867	10415	10091
529	25.08.2017	9851	9876	10280	9990
530	26.08.2017	9843	9855	10277	10092
531	27.08.2017	9834	9843	10365	10090
532	28.08.2017	9850	9848	10282	9991
533	29.08.2017	9822	9838	10380	10015
534	30.08.2017	9824	9835	10408	10016
535	31.08.2017	9812	9811	10407	10030
536	1.09.2017	9818	9820	10271	9991
537	2.09.2017	9822	9819	10384	9927
538	3.09.2017	9809	9825	10268	9991
539	4.09.2017	9809	9808	10375	9985
540	5.09.2017	9810	9816	10304	9987
541	6.09.2017	9815	9819	10291	10051
542	7.09.2017	9794	9807	10281	9901
543	8.09.2017	9798	9810	10278	9893
544	9.09.2017	9807	9793	10292	9900
545	10.09.2017	9802	9796	10238	9988
546	11.09.2017	9805	9804	10339	9915
547	12.09.2017	9788	9801	10369	10039
548	13.09.2017	9784	9788	10244	9990
549	14.09.2017	9776	9775	10378	9911
550	15.09.2017	9789	9792	10362	9892
551	16.09.2017	9783	9789	10222	10021
552	17.09.2017	9793	9789	10356	10075
553	18.09.2017	9782	9794	10236	9939
554	19.09.2017	9791	9786	10226	9919
555	20.09.2017	9787	9794	10391	10071
556	21.09.2017	9796	9791	10323	9879
557	22.09.2017	9767	9783	10196	9973
558	23.09.2017	9776	9777	10389	9926
559	24.09.2017	9770	9774	10220	9961
560	25.09.2017	9766	9770	10342	10017
561	26.09.2017	9780	9777	10357	9900
562	27.09.2017	9781	9773	10226	10014
563	28.09.2017	9771	9758	10218	9941
564	29.09.2017	9776	9776	10319	10013
565	30.09.2017	9778	9759	10225	9906
566	1.10.2017	9787	9776	10373	9999
567	2.10.2017	9779	9773	10212	9829
568	3.10.2017	9776	9781	10345	9995
569	4.10.2017	9781	9770	10278	9860
570	5.10.2017	9777	9770	10378	9877
571	6.10.2017	9765	9764	10317	9949
572	7.10.2017	9780	9773	10342	10019
573	8.10.2017	9762	9763	10323	9859
574	9.10.2017	9767	9768	10318	9852
575	10.10.2017	9769	9771	10301	9985
576	11.10.2017	9761	9767	10182	9981
577	12.10.2017	9767	9757	10305	9933
578	13.10.2017	9763	9757	10188	9979
579	14.10.2017	9767	9750	10330	9976
580	15.10.2017	9754	9746	10229	9932
581	16.10.2017	9766	9755	10201	9822
582	17.10.2017	9747	9747	10220	9876
583	18.10.2017	9753	9750	10228	9899
584	19.10.2017	9742	9744	10367	9976
585	20.10.2017	9739	9738	10351	9887
586	21.10.2017	9752	9740	10251	10009
587	22.10.2017	9737	9742	10174	9847
588	23.10.2017	9751	9732	10249	9924
589	24.10.2017	9741	9730	10201	9825
590	25.10.2017	9730	9728	10338	9913
591	26.10.2017	9735	9717	10330	9930
592	27.10.2017	9731	9715	10267	9819
593	28.10.2017	9740	9722	10292	9910
594	29.10.2017	9735	9711	10291	10001
595	30.10.2017	9734	9707	10223	9972
596	31.10.2017	9733	9716	10181	9798
597	1.11.2017	9732	9711	10315	9925
598	2.11.2017	9743	9720	10172	9835
599	3.11.2017	9718	9716	10298	9859
600	4.11.2017	9723	9709	10243	9959
601	5.11.2017	9713	9717	10157	9858
602	6.11.2017	9716	9705	10324	10012
603	7.11.2017	9719	9721	10280	9882
604	8.11.2017	9721	9711	10154	9912
605	9.11.2017	9734	9706	10159	9891
606	10.11.2017	9699	9693	10263	9836
607	11.11.2017	9713	9695	10138	9793
608	12.11.2017	9713	9690	10306	9822
609	13.11.2017	9712	9703	10294	9882
610	14.11.2017	9700	9679	10276	9806
611	15.11.2017	9696	9687	10146	9942
612	16.11.2017	9709	9692	10257	9954
613	17.11.2017	9707	9683	10157	9896
614	18.11.2017	9701	9672	10306	9962
615	19.11.2017	9694	9682	10149	9764
616	20.11.2017	9701	9685	10187	9767
617	21.11.2017	9687	9678	10109	9912
618	22.11.2017	9682	9680	10134	9849
619	23.11.2017	9680	9680	10200	9888
620	24.11.2017	9698	9675	10175	9793
621	25.11.2017	9695	9661	10198	9831
622	26.11.2017	9679	9657	10208	9845
623	27.11.2017	9691	9653	10288	9882
624	28.11.2017	9686	9659	10190	9770
625	29.11.2017	9678	9666	10259	9786
626	30.11.2017	9676	9665	10234	9764
627	1.12.2017	9680	9664	10154	9877
628	2.12.2017	9680	9647	10112	9772
629	3.12.2017	9665	9653	10146	9901
630	4.12.2017	9665	9650	10141	9806
631	5.12.2017	9676	9653	10090	9806
632	6.12.2017	9675	9637	10102	9771
633	7.12.2017	9656	9632	10151	9857
634	8.12.2017	9672	9658	10138	9810
635	9.12.2017	9676	9650	10228	9912
636	10.12.2017	9673	9664	10119	9854
637	11.12.2017	9694	9660	10276	9939
638	12.12.2017	9676	9654	10282	9911
639	13.12.2017	9722	9691	10228	9929
640	14.12.2017	9725	9683	10275	9866
641	15.12.2017	9711	9689	10184	9873
642	16.12.2017	9731	9710	10237	9823
643	17.12.2017	9733	9718	10202	9939
644	18.12.2017	9675	9649	10265	9794
645	19.12.2017	9668	9654	10095	9833
646	20.12.2017	9675	9651	10212	9783
647	21.12.2017	9662	9633	10177	9842
648	22.12.2017	13665	13642	14176	13891
649	23.12.2017	9666	9643	10110	9756
650	24.12.2017	9661	9639	10092	9758
651	25.12.2017	9658	9627	10145	9798
652	26.12.2017	9648	9622	10253	9932
653	27.12.2017	9645	9634	10228	9745
654	28.12.2017	9651	9621	10236	9777
655	29.12.2017	9658	9617	10080	9738
656	30.12.2017	9648	9616	10082	9794
657	31.12.2017	9646	9615	10106	9744
658	1.01.2018	9652	9613	10076	9789
659	2.01.2018	9646	9618	10264	9896
660	3.01.2018	9649	9628	10243	9779
661	4.01.2018	9644	9620	10169	9877
662	5.01.2018	9659	9630	10197	9906
663	6.01.2018	9658	9614	10222	9867
664	7.01.2018	9652	9616	10117	9875
