DATE	VALUE
2009-05-18	5.5132
2009-05-19	5.4724
2009-05-20	5.4092
2009-05-21	5.3937
2009-05-22	5.3164
2009-05-25	0.0
2009-05-26	5.3184
2009-05-27	5.3449
2009-05-28	5.3375
2009-05-29	5.2708
2009-06-01	5.2476
2009-06-02	5.2175
2009-06-03	5.2470
2009-06-04	5.2475
2009-06-05	5.3218
2009-06-08	5.3609
2009-06-09	5.3125
2009-06-10	5.3225
2009-06-11	5.2831
2009-06-12	5.3017
2009-06-15	5.4015
2009-06-16	5.3625
2009-06-17	5.3731
2009-06-18	5.3252
2009-06-19	5.3162
2009-06-22	5.3746
2009-06-23	5.3022
2009-06-24	5.3114
2009-06-25	5.3372
2009-06-26	5.2974
2009-06-29	5.2962
2009-06-30	5.3113
2009-07-01	5.2486
2009-07-02	5.3110
2009-07-03	5.3220
2009-07-06	5.3412
2009-07-07	5.3330
2009-07-08	5.3729
2009-07-09	5.3089
2009-07-10	5.3451
2009-07-13	5.3282
2009-07-14	5.3291
2009-07-15	5.2742
2009-07-16	5.2746
2009-07-17	5.2714
2009-07-20	5.2399
2009-07-21	5.2457
2009-07-22	5.2361
2009-07-23	5.2184
2009-07-24	5.2384
2009-07-27	5.2370
2009-07-28	5.2368
2009-07-29	5.3051
2009-07-30	5.2929
2009-07-31	5.2146
2009-08-03	5.1650
2009-08-04	5.1695
2009-08-05	5.1735
2009-08-06	5.1844
2009-08-07	5.2497
2009-08-10	5.2637
2009-08-11	5.2642
2009-08-12	5.2353
2009-08-13	5.2119
2009-08-14	5.2339
2009-08-17	5.2831
2009-08-18	5.2876
2009-08-19	5.2173
2009-08-20	5.2287
2009-08-21	5.2023
2009-08-24	5.1969
2009-08-25	5.1859
2009-08-26	5.2292
2009-08-27	5.2147
2009-08-28	5.1835
2009-08-31	5.1858
2009-09-01	5.2285
2009-09-02	5.2233
2009-09-03	5.2131
2009-09-04	5.2126
2009-09-07	0.0
2009-09-08	5.1331
2009-09-09	5.1078
2009-09-10	5.1096
2009-09-11	5.1031
2009-09-14	5.0920
2009-09-15	5.0915
2009-09-16	5.0627
2009-09-17	5.0495
2009-09-18	5.0578
2009-09-21	5.0646
2009-09-22	5.0300
2009-09-23	5.0440
2009-09-24	5.0634
2009-09-25	5.0674
2009-09-28	5.0809
2009-09-29	5.1148
2009-09-30	5.0874
2009-10-01	5.1213
2009-10-02	5.1021
2009-10-05	5.0819
2009-10-06	5.0488
2009-10-07	5.0721
2009-10-08	5.0372
2009-10-09	5.0578
2009-10-12	0.0
2009-10-13	5.0150
2009-10-14	4.9958
2009-10-15	4.9811
2009-10-16	4.9972
2009-10-19	4.9797
2009-10-20	4.9936
2009-10-21	4.9594
2009-10-22	4.9609
2009-10-23	4.9508
2009-10-26	4.9816
2009-10-27	5.0213
2009-10-28	5.0405
2009-10-29	5.0223
2009-10-30	5.0422
2009-11-02	5.0185
2009-11-03	5.0769
2009-11-04	5.0155
2009-11-05	5.0072
2009-11-06	5.0162
2009-11-09	4.9607
2009-11-10	4.9737
2009-11-11	0.0
2009-11-12	5.0053
2009-11-13	4.9969
2009-11-16	4.9682
2009-11-17	5.0157
2009-11-18	4.9634
2009-11-19	4.9908
2009-11-20	5.0041
2009-11-23	4.9715
2009-11-24	4.9813
2009-11-25	4.9328
2009-11-26	0.0
2009-11-27	4.9749
2009-11-30	4.9631
2009-12-01	4.9285
2009-12-02	4.9414
2009-12-03	4.9337
2009-12-04	4.9992
2009-12-07	5.0211
2009-12-08	5.0475
2009-12-09	5.0533
2009-12-10	5.0565
2009-12-11	5.0972
2009-12-14	5.0816
2009-12-15	5.1273
2009-12-16	5.1050
2009-12-17	5.1979
2009-12-18	5.2103
2009-12-21	5.1962
2009-12-22	5.2247
2009-12-23	5.1893
2009-12-24	5.1790
2009-12-25	0.0
2009-12-28	5.1707
2009-12-29	5.1830
2009-12-30	5.1973
2009-12-31	5.1908
2010-01-01	0.0
2010-01-04	5.1597
2010-01-05	5.1668
2010-01-06	5.1638
2010-01-07	5.1981
2010-01-08	5.1827
2010-01-11	5.1185
2010-01-12	5.1232
2010-01-13	5.1336
2010-01-14	5.1387
2010-01-15	5.1768
2010-01-18	0.0
2010-01-19	5.2154
2010-01-20	5.2812
2010-01-21	5.2762
2010-01-22	5.2611
2010-01-25	5.2630
2010-01-26	5.2930
2010-01-27	5.2978
2010-01-28	5.3195
2010-01-29	5.3676
2010-02-01	5.3533
2010-02-02	5.3346
2010-02-03	5.3511
2010-02-04	5.4095
2010-02-05	5.4708
2010-02-08	5.4328
2010-02-09	5.3970
2010-02-10	5.4237
2010-02-11	5.4579
2010-02-12	5.4634
2010-02-15	0.0
2010-02-16	5.4163
2010-02-17	5.4636
2010-02-18	5.4877
2010-02-19	5.4964
2010-02-22	5.4774
2010-02-23	5.4980
2010-02-24	5.4824
2010-02-25	5.5229
2010-02-26	5.4482
2010-03-01	5.5057
2010-03-02	5.4868
2010-03-03	5.4198
2010-03-04	5.4840
2010-03-05	5.4673
2010-03-08	5.4663
2010-03-09	5.4755
2010-03-10	5.4476
2010-03-11	5.4416
2010-03-12	5.4106
2010-03-15	5.4502
2010-03-16	5.4077
2010-03-17	5.4156
2010-03-18	5.4681
2010-03-19	5.4992
2010-03-22	5.4983
2010-03-23	5.4965
2010-03-24	5.5726
2010-03-25	5.5758
2010-03-26	5.5540
2010-03-29	5.5270
2010-03-30	5.5520
2010-03-31	5.5033
2010-04-01	5.4876
2010-04-02	5.5191
2010-04-05	5.5187
2010-04-06	5.5640
2010-04-07	5.5699
2010-04-08	5.5694
2010-04-09	5.5251
2010-04-12	5.4779
2010-04-13	5.4757
2010-04-14	5.4448
2010-04-15	5.4965
2010-04-16	5.5184
2010-04-19	5.5294
2010-04-20	5.5332
2010-04-21	5.5593
2010-04-22	5.5960
2010-04-23	5.5688
2010-04-26	5.5792
2010-04-27	5.6248
2010-04-28	5.6659
2010-04-29	5.6200
2010-04-30	5.5952
2010-05-03	5.6452
2010-05-04	5.7090
2010-05-05	5.7734
2010-05-06	5.8657
2010-05-07	5.8508
2010-05-10	5.7863
2010-05-11	5.8527
2010-05-12	5.8853
2010-05-13	5.9185
2010-05-14	6.0026
2010-05-17	6.0486
2010-05-18	6.0204
2010-05-19	6.0411
2010-05-20	6.0161
2010-05-21	5.9195
2010-05-24	5.9984
2010-05-25	6.0593
2010-05-26	6.0861
2010-05-27	6.0120
2010-05-28	6.0145
2010-05-31	0.0
2010-06-01	6.0651
2010-06-02	6.0958
2010-06-03	6.1024
2010-06-04	6.1999
2010-06-07	6.2188
2010-06-08	6.2000
2010-06-09	6.1760
2010-06-10	6.1413
2010-06-11	6.1571
2010-06-14	6.0562
2010-06-15	6.0318
2010-06-16	6.0360
2010-06-17	6.0145
2010-06-18	6.0173
2010-06-21	6.0077
2010-06-22	6.0482
2010-06-23	6.0439
2010-06-24	6.0566
2010-06-25	6.0358
2010-06-28	6.0445
2010-06-29	6.1116
2010-06-30	6.0598
2010-07-01	5.9764
2010-07-02	5.9243
2010-07-05	0.0
2010-07-06	5.8924
2010-07-07	5.9184
2010-07-08	5.8770
2010-07-09	5.8979
2010-07-12	5.9279
2010-07-13	5.8629
2010-07-14	5.8415
2010-07-15	5.7790
2010-07-16	5.7648
2010-07-19	5.7482
2010-07-20	5.7742
2010-07-21	5.8120
2010-07-22	5.7758
2010-07-23	5.7924
2010-07-26	5.7389
2010-07-27	5.7383
2010-07-28	5.7310
2010-07-29	5.7024
2010-07-30	5.7010
2010-08-02	5.6548
2010-08-03	5.6280
2010-08-04	5.6633
2010-08-05	5.6632
2010-08-06	5.6094
2010-08-09	5.6273
2010-08-10	5.6891
2010-08-11	5.7748
2010-08-12	5.7906
2010-08-13	5.8357
2010-08-16	5.8011
2010-08-17	5.7785
2010-08-18	5.7860
2010-08-19	5.8043
2010-08-20	5.8730
2010-08-23	5.8830
2010-08-24	5.8754
2010-08-25	5.8849
2010-08-26	5.8547
2010-08-27	5.8339
2010-08-30	5.8696
2010-08-31	5.8580
2010-09-01	5.8102
2010-09-02	5.8041
2010-09-03	5.7774
2010-09-06	0.0
2010-09-07	5.8506
2010-09-08	5.8482
2010-09-09	5.8590
2010-09-10	5.8482
2010-09-13	5.7763
2010-09-14	5.7204
2010-09-15	5.7249
2010-09-16	5.6938
2010-09-17	5.7078
2010-09-20	5.6958
2010-09-21	5.6706
2010-09-22	5.5652
2010-09-23	5.5830
2010-09-24	5.5285
2010-09-27	5.5272
2010-09-28	5.4862
2010-09-29	5.4643
2010-09-30	5.4791
2010-10-01	5.4182
2010-10-04	5.4449
2010-10-05	5.3867
2010-10-06	5.3516
2010-10-07	5.3542
2010-10-08	5.3552
2010-10-11	0.0
2010-10-12	5.3852
2010-10-13	5.3399
2010-10-14	5.2997
2010-10-15	5.3268
2010-10-18	5.3353
2010-10-19	5.3935
2010-10-20	5.3451
2010-10-21	5.3376
2010-10-22	5.3640
2010-10-25	5.3324
2010-10-26	5.3756
2010-10-27	5.4077
2010-10-28	5.3547
2010-10-29	5.3671
2010-11-01	5.3688
2010-11-02	5.3156
2010-11-03	5.3195
2010-11-04	5.2405
2010-11-05	5.3094
2010-11-08	5.3514
2010-11-09	5.3759
2010-11-10	5.4277
2010-11-11	0.0
2010-11-12	5.4407
2010-11-15	5.4744
2010-11-16	5.5149
2010-11-17	5.4989
2010-11-18	5.4744
2010-11-19	5.4604
2010-11-22	5.4774
2010-11-23	5.5686
2010-11-24	5.5796
2010-11-25	0.0
2010-11-26	5.6274
2010-11-29	5.6917
2010-11-30	5.7171
2010-12-01	5.6679
2010-12-02	5.6329
2010-12-03	5.5753
2010-12-06	5.6122
2010-12-07	5.5938
2010-12-08	5.6302
2010-12-09	5.6455
2010-12-10	5.6277
2010-12-13	5.5670
2010-12-14	5.5640
2010-12-15	5.5989
2010-12-16	5.6399
2010-12-17	5.6623
2010-12-20	5.6759
2010-12-21	5.6733
2010-12-22	5.6921
2010-12-23	5.6889
2010-12-24	0.0
2010-12-27	5.6678
2010-12-28	5.6796
2010-12-29	5.6546
2010-12-30	5.6183
2010-12-31	0.0
2011-01-03	5.5724
2011-01-04	5.6013
2011-01-05	5.6582
2011-01-06	5.7193
2011-01-07	5.7555
2011-01-10	5.7540
2011-01-11	5.7389
2011-01-12	5.7011
2011-01-13	5.5743
2011-01-14	5.5894
2011-01-17	0.0
2011-01-18	5.5605
2011-01-19	5.5214
2011-01-20	5.5428
2011-01-21	5.4881
2011-01-24	5.4573
2011-01-25	5.4628
2011-01-26	5.4444
2011-01-27	5.4440
2011-01-28	5.4767
2011-01-31	5.4350
2011-02-01	5.4045
2011-02-02	5.4104
2011-02-03	5.4594
2011-02-04	5.4869
2011-02-07	5.4989
2011-02-08	5.4466
2011-02-09	5.4469
2011-02-10	5.4677
2011-02-11	5.5152
2011-02-14	5.5340
2011-02-15	5.5252
2011-02-16	5.5042
2011-02-17	5.4770
2011-02-18	5.4518
2011-02-21	0.0
2011-02-22	5.4558
2011-02-23	5.4187
2011-02-24	5.4048
2011-02-25	5.4192
2011-02-28	5.4054
2011-03-01	5.3973
2011-03-02	5.3748
2011-03-03	5.3462
2011-03-04	5.3315
2011-03-07	5.3356
2011-03-08	5.3591
2011-03-09	5.3630
2011-03-10	5.3953
2011-03-11	5.3792
2011-03-14	5.3355
2011-03-15	5.3397
2011-03-16	5.3572
2011-03-17	5.3183
2011-03-18	5.2737
2011-03-21	5.2572
2011-03-22	5.2472
2011-03-23	5.2796
2011-03-24	5.2516
2011-03-25	5.2714
2011-03-28	5.2853
2011-03-29	5.2929
2011-03-30	5.2899
2011-03-31	5.2569
2011-04-01	5.2455
2011-04-04	5.2436
2011-04-05	5.2391
2011-04-06	5.2014
2011-04-07	5.2194
2011-04-08	5.1652
2011-04-11	5.1591
2011-04-12	5.1595
2011-04-13	5.1509
2011-04-14	5.1570
2011-04-15	5.1634
2011-04-18	5.2464
2011-04-19	5.2086
2011-04-20	5.1383
2011-04-21	5.1126
2011-04-22	5.1271
2011-04-25	5.1157
2011-04-26	5.0969
2011-04-27	5.0864
2011-04-28	5.0442
2011-04-29	5.0315
2011-05-02	5.0149
2011-05-03	5.0127
2011-05-04	5.0183
2011-05-05	5.1125
2011-05-06	5.1454
2011-05-09	5.2126
2011-05-10	5.1922
2011-05-11	5.2249
2011-05-12	5.2400
2011-05-13	5.2725
2011-05-16	5.2444
2011-05-17	5.2667
2011-05-18	5.2262
2011-05-19	5.2324
2011-05-20	5.2615
2011-05-23	5.3203
2011-05-24	5.2848
2011-05-25	5.2863
2011-05-26	5.2915
2011-05-27	5.2182
2011-05-30	0.0
2011-05-31	5.1847
2011-06-01	5.1662
2011-06-02	5.1669
2011-06-03	5.1046
2011-06-06	5.0982
2011-06-07	5.0802
2011-06-08	5.1112
2011-06-09	5.1311
2011-06-10	5.1913
2011-06-13	5.1908
2011-06-14	5.1535
2011-06-15	5.2449
2011-06-16	5.2694
2011-06-17	5.2068
2011-06-20	5.2076
2011-06-21	5.1801
2011-06-22	5.1781
2011-06-23	5.2640
2011-06-24	5.2564
2011-06-27	5.2220
2011-06-28	5.1910
2011-06-29	5.1699
2011-06-30	5.1355
2011-07-01	5.1415
2011-07-04	0.0
2011-07-05	5.1537
2011-07-06	5.2052
2011-07-07	5.1966
2011-07-08	5.2336
2011-07-11	5.3141
2011-07-12	5.3203
2011-07-13	5.2634
2011-07-14	5.2582
2011-07-15	5.2666
2011-07-18	5.3101
2011-07-19	5.2667
2011-07-20	5.2531
2011-07-21	5.1868
2011-07-22	5.1869
2011-07-25	5.1910
2011-07-26	5.1420
2011-07-27	5.1842
2011-07-28	5.2078
2011-07-29	5.1779
2011-08-01	5.2457
2011-08-02	5.2333
2011-08-03	5.1997
2011-08-04	5.2613
2011-08-05	5.2609
2011-08-08	5.2306
2011-08-09	5.2310
2011-08-10	5.2485
2011-08-11	5.2354
2011-08-12	5.2314
2011-08-15	5.1532
2011-08-16	5.1658
2011-08-17	5.1606
2011-08-18	5.2004
2011-08-19	5.1693
2011-08-22	5.1781
2011-08-23	5.1617
2011-08-24	5.1729
2011-08-25	5.1807
2011-08-26	5.1498
2011-08-29	5.1341
2011-08-30	5.1618
2011-08-31	5.1710
2011-09-01	5.2144
2011-09-02	5.2442
2011-09-05	0.0
2011-09-06	5.3199
2011-09-07	5.2979
2011-09-08	5.3388
2011-09-09	5.4488
2011-09-12	5.4615
2011-09-13	5.4430
2011-09-14	5.4321
2011-09-15	5.3740
2011-09-16	5.4023
2011-09-19	5.4595
2011-09-20	5.4355
2011-09-21	5.4257
2011-09-22	5.5345
2011-09-23	5.5044
2011-09-26	5.5041
2011-09-27	5.4675
2011-09-28	5.4610
2011-09-29	5.4555
2011-09-30	5.5331
2011-10-03	5.6034
2011-10-04	5.5989
2011-10-05	5.5846
2011-10-06	5.5518
2011-10-07	5.5093
2011-10-10	0.0
2011-10-11	5.4500
2011-10-12	5.3936
2011-10-13	5.4219
2011-10-14	5.3710
2011-10-17	5.4077
2011-10-18	5.4269
2011-10-19	5.4049
2011-10-20	5.4462
2011-10-21	5.3658
2011-10-24	5.3440
2011-10-25	5.3514
2011-10-26	5.3789
2011-10-27	5.2527
2011-10-28	5.2531
2011-10-31	5.3330
2011-11-01	5.4402
2011-11-02	5.3909
2011-11-03	5.4145
2011-11-04	5.4067
2011-11-07	5.4163
2011-11-08	5.4004
2011-11-09	5.4751
2011-11-10	5.4711
2011-11-11	0.0
2011-11-14	5.4627
2011-11-15	5.5036
2011-11-16	5.5098
2011-11-17	5.5028
2011-11-18	5.5044
2011-11-21	5.5011
2011-11-22	5.5109
2011-11-23	5.5707
2011-11-24	0.0
2011-11-25	5.6144
2011-11-28	5.5770
2011-11-29	5.5735
2011-11-30	5.5268
2011-12-01	5.5138
2011-12-02	5.5545
2011-12-05	5.5229
2011-12-06	5.5497
2011-12-07	5.5539
2011-12-08	5.5802
2011-12-09	5.5614
2011-12-12	5.6369
2011-12-13	5.6788
2011-12-14	5.7280
2011-12-15	5.7107
2011-12-16	5.7061
2011-12-19	5.7094
2011-12-20	5.6833
2011-12-21	5.7005
2011-12-22	5.6981
2011-12-23	5.6996
2011-12-26	0.0
2011-12-27	5.6851
2011-12-28	5.7519
2011-12-29	5.7392
2011-12-30	5.7303
2012-01-02	0.0
2012-01-03	5.6933
2012-01-04	5.7513
2012-01-05	5.8176
2012-01-06	5.8429
2012-01-09	5.8339
2012-01-10	5.8189
2012-01-11	5.8612
2012-01-12	5.8006
2012-01-13	5.8628
2012-01-16	0.0
2012-01-17	5.8357
2012-01-18	5.7971
2012-01-19	5.7470
2012-01-20	5.7414
2012-01-23	5.7040
2012-01-24	5.7172
2012-01-25	5.7282
2012-01-26	5.6508
2012-01-27	5.6350
2012-01-30	5.6645
2012-01-31	5.6949
2012-02-01	5.6405
2012-02-02	5.6451
2012-02-03	5.6713
2012-02-06	5.6605
2012-02-07	5.6119
2012-02-08	5.6079
2012-02-09	5.5881
2012-02-10	5.6370
2012-02-13	5.6247
2012-02-14	5.6530
2012-02-15	5.6791
2012-02-16	5.6699
2012-02-17	5.6529
2012-02-20	0.0
2012-02-21	5.6096
2012-02-22	5.6122
2012-02-23	5.5870
2012-02-24	5.5230
2012-02-27	5.5448
2012-02-28	5.5272
2012-02-29	5.5653
2012-03-01	5.5813
2012-03-02	5.6310
2012-03-05	5.6200
2012-03-06	5.6689
2012-03-07	5.6530
2012-03-08	5.6080
2012-03-09	5.6708
2012-03-12	5.6561
2012-03-13	5.6700
2012-03-14	5.7082
2012-03-15	5.6882
2012-03-16	5.6455
2012-03-19	5.6147
2012-03-20	5.6231
2012-03-21	5.6370
2012-03-22	5.6355
2012-03-23	5.6061
2012-03-26	5.5783
2012-03-27	5.5740
2012-03-28	5.5916
2012-03-29	5.6066
2012-03-30	5.5790
2012-04-02	5.5837
2012-04-03	5.5787
2012-04-04	5.6668
2012-04-05	5.6940
2012-04-06	5.6851
2012-04-09	5.6844
2012-04-10	5.6926
2012-04-11	5.6749
2012-04-12	5.6475
2012-04-13	5.6863
2012-04-16	5.6924
2012-04-17	5.6686
2012-04-18	5.6691
2012-04-19	5.6644
2012-04-20	5.6312
2012-04-23	5.6666
2012-04-24	5.6337
2012-04-25	5.6318
2012-04-26	5.6208
2012-04-27	5.6137
2012-04-30	5.6236
2012-05-01	5.6242
2012-05-02	5.6536
2012-05-03	5.6555
2012-05-04	5.6795
2012-05-07	5.6973
2012-05-08	5.7116
2012-05-09	5.7388
2012-05-10	5.7354
2012-05-11	5.7443
2012-05-14	5.7861
2012-05-15	5.8210
2012-05-16	5.8390
2012-05-17	5.8474
2012-05-18	5.8423
2012-05-21	5.8202
2012-05-22	5.8343
2012-05-23	5.9113
2012-05-24	5.9060
2012-05-25	5.9352
2012-05-28	0.0
2012-05-29	5.9515
2012-05-30	5.9905
2012-05-31	6.0100
2012-06-01	5.9821
2012-06-04	5.9481
2012-06-05	5.9754
2012-06-06	5.9299
2012-06-07	5.9150
2012-06-08	5.9551
2012-06-11	5.9437
2012-06-12	5.9547
2012-06-13	5.8990
2012-06-14	5.8937
2012-06-15	5.8819
2012-06-18	5.9085
2012-06-19	5.8569
2012-06-20	5.8521
2012-06-21	5.9064
2012-06-22	5.9253
2012-06-25	5.9564
2012-06-26	5.9604
2012-06-27	5.9673
2012-06-28	5.9775
2012-06-29	5.8687
2012-07-02	5.9065
2012-07-03	5.8909
2012-07-04	0.0
2012-07-05	6.0077
2012-07-06	6.0553
2012-07-09	6.0480
2012-07-10	6.0685
2012-07-11	6.0729
2012-07-12	6.0971
2012-07-13	6.0814
2012-07-16	6.0647
2012-07-17	6.0818
2012-07-18	6.0669
2012-07-19	6.0688
2012-07-20	6.1102
2012-07-23	6.1347
2012-07-24	6.1668
2012-07-25	6.1316
2012-07-26	6.0576
2012-07-27	6.0130
2012-07-30	6.0725
2012-07-31	6.0431
2012-08-01	6.0518
2012-08-02	6.1255
2012-08-03	6.0066
2012-08-06	5.9901
2012-08-07	5.9929
2012-08-08	6.0197
2012-08-09	6.0611
2012-08-10	6.0514
2012-08-13	6.0313
2012-08-14	6.0367
2012-08-15	6.0563
2012-08-16	6.0241
2012-08-17	6.0469
2012-08-20	6.0315
2012-08-21	5.9693
2012-08-22	5.9701
2012-08-23	5.9189
2012-08-24	5.9420
2012-08-27	5.9508
2012-08-28	5.9289
2012-08-29	5.9429
2012-08-30	5.9610
2012-08-31	5.9237
2012-09-03	0.0
2012-09-04	5.9276
2012-09-05	5.9117
2012-09-06	5.9018
2012-09-07	5.8239
2012-09-10	5.8239
2012-09-11	5.7953
2012-09-12	5.7815
2012-09-13	5.7731
2012-09-14	5.6729
2012-09-17	5.6797
2012-09-18	5.7097
2012-09-19	5.7039
2012-09-20	5.7553
2012-09-21	5.7389
2012-09-24	5.7760
2012-09-25	5.7600
2012-09-26	5.8015
2012-09-27	5.7896
2012-09-28	5.7986
2012-10-01	5.7779
2012-10-02	5.7569
2012-10-03	5.7756
2012-10-04	5.7339
2012-10-05	5.7097
2012-10-08	0.0
2012-10-09	5.7924
2012-10-10	5.7880
2012-10-11	5.7692
2012-10-12	5.7615
2012-10-15	5.7596
2012-10-16	5.7221
2012-10-17	5.6800
2012-10-18	5.6901
2012-10-19	5.7274
2012-10-22	5.7100
2012-10-23	5.7493
2012-10-24	5.7615
2012-10-25	5.7561
2012-10-26	5.7647
2012-10-29	5.7794
2012-10-30	5.7474
2012-10-31	5.7559
2012-11-01	5.7662
2012-11-02	5.8057
2012-11-05	5.8307
2012-11-06	5.8202
2012-11-07	5.8463
2012-11-08	5.8551
2012-11-09	5.8651
2012-11-12	0.0
2012-11-13	5.8644
2012-11-14	5.8528
2012-11-15	5.8351
2012-11-16	5.8660
2012-11-19	5.8226
2012-11-20	5.8202
2012-11-21	5.8183
2012-11-22	0.0
2012-11-23	5.7536
2012-11-26	5.7506
2012-11-27	5.7621
2012-11-28	5.7721
2012-11-29	5.7593
2012-11-30	5.7333
2012-12-03	5.7093
2012-12-04	5.7029
2012-12-05	5.7046
2012-12-06	5.7518
2012-12-07	5.7639
2012-12-10	5.7693
2012-12-11	5.7417
2012-12-12	5.7216
2012-12-13	5.7047
2012-12-14	5.6806
2012-12-17	5.6648
2012-12-18	5.6405
2012-12-19	5.6317
2012-12-20	5.6417
2012-12-21	5.6652
2012-12-24	5.6599
2012-12-25	0.0
2012-12-26	5.6390
2012-12-27	5.6376
2012-12-28	5.6413
2012-12-31	5.6565
2013-01-01	0.0
2013-01-02	5.6534
2013-01-03	5.6901
2013-01-04	5.7165
2013-01-07	5.6947
2013-01-08	5.7090
2013-01-09	5.7062
2013-01-10	5.6442
2013-01-11	5.5880
2013-01-14	5.5802
2013-01-15	5.5933
2013-01-16	5.6076
2013-01-17	5.5876
2013-01-18	5.6099
2013-01-21	0.0
2013-01-22	5.6088
2013-01-23	5.6068
2013-01-24	5.5774
2013-01-25	5.5451
2013-01-28	5.5430
2013-01-29	5.5306
2013-01-30	5.4985
2013-01-31	5.4916
2013-02-01	5.4491
2013-02-04	5.5146
2013-02-05	5.4959
2013-02-06	5.5127
2013-02-07	5.5738
2013-02-08	5.5797
2013-02-11	5.5625
2013-02-12	5.5467
2013-02-13	5.5484
2013-02-14	5.5941
2013-02-15	5.5824
2013-02-18	0.0
2013-02-19	5.5703
2013-02-20	5.5874
2013-02-21	5.6492
2013-02-22	5.6656
2013-02-25	5.6634
2013-02-26	5.7117
2013-02-27	5.6898
2013-02-28	5.7007
2013-03-01	5.7403
2013-03-04	5.7357
2013-03-05	5.7262
2013-03-06	5.7380
2013-03-07	5.6906
2013-03-08	5.7393
2013-03-11	5.7303
2013-03-12	5.7251
2013-03-13	5.7572
2013-03-14	5.7477
2013-03-15	5.7081
2013-03-18	5.7540
2013-03-19	5.7829
2013-03-20	5.7540
2013-03-21	5.7641
2013-03-22	5.7348
2013-03-25	5.7842
2013-03-26	5.7952
2013-03-27	5.8307
2013-03-28	5.8033
2013-03-29	5.8169
2013-04-01	5.7980
2013-04-02	5.8071
2013-04-03	5.8008
2013-04-04	5.7988
2013-04-05	5.7220
2013-04-08	5.7308
2013-04-09	5.6944
2013-04-10	5.7091
2013-04-11	5.6805
2013-04-12	5.6947
2013-04-15	5.6993
2013-04-16	5.6726
2013-04-17	5.7124
2013-04-18	5.7020
2013-04-19	5.7060
2013-04-22	5.7111
2013-04-23	5.7275
2013-04-24	5.7361
2013-04-25	5.7322
2013-04-26	5.7250
2013-04-29	5.6958
2013-04-30	5.6614
2013-05-01	5.6511
2013-05-02	5.7048
2013-05-03	5.6847
2013-05-06	5.7025
2013-05-07	5.6949
2013-05-08	5.6562
2013-05-09	5.6866
2013-05-10	5.7545
2013-05-13	5.7413
2013-05-14	5.7468
2013-05-15	5.7970
2013-05-16	5.7782
2013-05-17	5.8115
2013-05-20	5.7922
2013-05-21	5.7728
2013-05-22	5.7932
