RUN	DATE	JOE	BILL	JACK	JOHN	SUSPECT
68	21.05.2016	10469	10614	10997	10769	0
69	22.05.2016	10480	10600	11075	10657	0
70	23.05.2016	10476	10615	10933	10654	0
71	24.05.2016	10451	10564	11023	10754	0
72	25.05.2016	10446	10576	10988	10617	0
73	26.05.2016	10445	10569	10976	10687	0
74	27.05.2016	10437	10577	10934	10628	0
75	28.05.2016	10423	10570	10927	10548	0
76	29.05.2016	10424	10569	11003	10721	0
77	30.05.2016	10436	10549	10894	10541	0
78	31.05.2016	10427	10562	10903	10579	0
79	1.06.2016	10426	10557	11006	10749	0
80	2.06.2016	10426	10555	10865	10633	0
81	3.06.2016	10423	10548	11024	10676	0
82	4.06.2016	10432	10545	10875	10559	0
83	5.06.2016	10421	10559	10976	10751	0
84	6.06.2016	10416	10558	10871	10530	0
85	7.06.2016	10416	10546	10977	10553	0
86	8.06.2016	10413	10551	10905	10675	0
87	9.06.2016	10396	10532	10833	10538	0
88	10.06.2016	10398	10534	11004	10598	0
89	11.06.2016	10419	10542	10970	10654	0
90	12.06.2016	10403	10532	10881	10692	0
91	13.06.2016	10405	10522	11005	10678	0
92	14.06.2016	10396	10534	10948	10573	0
93	15.06.2016	10411	10522	11001	10701	0
94	16.06.2016	10391	10515	10831	10546	0
95	17.06.2016	10405	10523	10826	10632	0
96	18.06.2016	10405	10517	10998	10542	0
97	19.06.2016	10403	10525	10976	10696	0
98	20.06.2016	10395	10517	10847	10499	0
99	21.06.2016	10389	10514	10969	10642	0
100	22.06.2016	10384	10504	10804	10549	0
101	23.06.2016	10397	10506	10970	10724	0
102	24.06.2016	10382	10518	10858	10641	0
103	25.06.2016	10379	10504	10920	10607	0
104	26.06.2016	10389	10502	10825	10666	0
105	27.06.2016	10385	10499	10925	10613	0
106	28.06.2016	10392	10500	10892	10682	0
107	29.06.2016	10373	10502	10925	10664	0
108	30.06.2016	10369	10489	10897	10538	0
109	1.07.2016	10382	10487	10833	10620	0
110	2.07.2016	10380	10490	10898	10646	0
111	3.07.2016	10368	10491	10885	10637	0
112	4.07.2016	10361	10493	10877	10624	0
113	5.07.2016	10375	10486	10871	10586	0
114	6.07.2016	10370	10484	10825	10591	0
115	7.07.2016	10375	10499	10805	10548	0
116	8.07.2016	10371	10498	10964	10592	0
117	9.07.2016	10382	10487	10827	10557	0
118	10.07.2016	10374	10500	10790	10606	0
119	11.07.2016	10375	10484	10823	10475	0
120	12.07.2016	10356	10490	10828	10476	0
121	13.07.2016	10354	10473	10800	10494	0
122	14.07.2016	10357	10481	10776	10527	0
123	15.07.2016	10380	10493	10909	10578	0
124	16.07.2016	10367	10474	10794	10581	0
125	17.07.2016	10360	10484	10767	10497	0
126	18.07.2016	10347	10464	10906	10622	0
127	19.07.2016	10344	10467	10842	10644	0
128	20.07.2016	10343	10469	10812	10519	0
129	21.07.2016	10370	10467	10945	10556	0
130	22.07.2016	10350	10474	10957	10551	0
131	23.07.2016	10354	10472	10903	10583	0
132	24.07.2016	10360	10462	10943	10617	0
133	25.07.2016	10348	10481	10960	10563	0
134	26.07.2016	10364	10474	10798	10503	0
135	27.07.2016	10353	10464	10837	10542	0
136	28.07.2016	10356	10466	10886	10556	0
137	29.07.2016	10358	10474	10859	10501	0
138	30.07.2016	10354	10462	10844	10621	0
139	31.07.2016	10365	10467	10906	10546	0
140	1.08.2016	10364	10464	10956	10658	0
141	2.08.2016	10350	10467	10847	10641	0
142	3.08.2016	10351	10475	10948	10549	0
143	4.08.2016	10349	10462	10867	10645	0
144	5.08.2016	10354	10470	10942	10498	0
145	6.08.2016	10366	10475	10866	10616	0
146	7.08.2016	10355	10469	10805	10495	0
147	8.08.2016	10357	10466	10825	10643	0
148	9.08.2016	10351	10475	10934	10676	0
149	10.08.2016	10353	10463	10908	10515	0
150	11.08.2016	10359	10462	10811	10642	0
151	12.08.2016	10355	10470	10947	10587	0
152	13.08.2016	10354	10463	10845	10511	0
153	14.08.2016	10365	10460	10877	10507	0
154	15.08.2016	10347	10469	10912	10628	0
155	16.08.2016	10371	10479	10910	10513	0
156	17.08.2016	10368	10475	10880	10479	0
157	18.08.2016	10362	10461	10898	10474	0
158	19.08.2016	10355	10460	10952	10669	0
159	20.08.2016	10371	10460	10842	10537	0
160	21.08.2016	10370	10468	10797	10492	0
161	22.08.2016	10361	10472	10926	10524	0
162	23.08.2016	10366	10478	10851	10546	0
163	24.08.2016	10357	10473	10936	10642	0
164	25.08.2016	10356	10476	10889	10636	0
165	26.08.2016	10361	10477	10933	10528	0
166	27.08.2016	10360	10461	10902	10674	0
167	28.08.2016	10365	10478	10805	10504	0
168	29.08.2016	10364	10474	10827	10478	0
169	30.08.2016	10359	10476	10817	10606	0
170	31.08.2016	10354	10474	10842	10621	0
171	1.09.2016	10357	10464	10785	10545	0
172	2.09.2016	10373	10469	10789	10593	0
173	3.09.2016	10350	10451	10839	10537	0
174	4.09.2016	10344	10437	10827	10552	0
175	5.09.2016	10342	10437	10918	10592	0
176	6.09.2016	10312	10422	10896	10538	0
177	7.09.2016	10318	10420	10861	10545	0
178	8.09.2016	10308	10411	10910	10457	0
179	9.09.2016	10317	10406	10791	10439	0
180	10.09.2016	10302	10407	10745	10581	0
181	11.09.2016	10312	10397	10869	10455	0
182	12.09.2016	10302	10393	10763	10568	0
183	13.09.2016	10293	10391	10796	10458	0
184	14.09.2016	10297	10388	10696	10469	0
185	15.09.2016	10291	10385	10712	10405	0
186	16.09.2016	10269	10376	10709	10392	0
187	17.09.2016	10275	10374	10841	10539	0
188	18.09.2016	10276	10377	10779	10513	0
189	19.09.2016	10273	10381	10684	10459	0
190	20.09.2016	10265	10366	10838	10406	0
191	21.09.2016	10266	10368	10730	10382	0
192	22.09.2016	10274	10364	10697	10501	0
193	23.09.2016	10256	10367	10831	10540	0
194	24.09.2016	10255	10351	10775	10474	0
195	25.09.2016	10266	10365	10803	10494	0
196	26.09.2016	10281	10367	10796	10399	0
197	27.09.2016	10273	10368	10702	10526	0
198	28.09.2016	10284	10364	10763	10458	0
199	29.09.2016	10271	10364	10789	10569	0
200	30.09.2016	10286	10372	10846	10431	0
201	1.10.2016	10267	10355	10683	10498	0
202	2.10.2016	10261	10346	10741	10413	0
203	3.10.2016	10261	10349	10779	10381	0
204	4.10.2016	10264	10353	10728	10404	0
205	5.10.2016	10262	10343	10673	10406	0
206	6.10.2016	10257	10346	10713	10503	0
207	7.10.2016	10256	10346	10685	10520	0
208	8.10.2016	10232	10328	10753	10366	0
209	9.10.2016	10253	10349	10669	10325	0
210	10.10.2016	10243	10335	10679	10407	0
211	11.10.2016	10259	10357	10678	10515	0
212	12.10.2016	10256	10361	10737	10382	0
213	13.10.2016	10249	10341	10800	10426	0
214	14.10.2016	10255	10356	10798	10524	0
215	15.10.2016	10246	10347	10700	10355	0
216	16.10.2016	10246	10345	10704	10452	0
217	17.10.2016	10245	10333	10662	10440	0
218	18.10.2016	10247	10335	10800	10506	0
219	19.10.2016	10257	10333	10785	10556	0
220	20.10.2016	10253	10345	10728	10528	0
221	21.10.2016	10254	10326	10717	10395	0
222	22.10.2016	10245	10330	10719	10342	0
223	23.10.2016	10250	10325	10672	10336	0
224	24.10.2016	10241	10321	10791	10366	0
225	25.10.2016	10230	10328	10823	10431	0
226	26.10.2016	10232	10332	10726	10510	0
227	27.10.2016	10234	10330	10815	10429	0
228	28.10.2016	10230	10319	10642	10392	0
229	29.10.2016	10231	10320	10697	10455	0
230	30.10.2016	10225	10312	10770	10441	0
231	31.10.2016	10229	10306	10792	10398	0
232	1.11.2016	10235	10315	10814	10400	0
233	2.11.2016	10227	10319	10639	10313	0
234	3.11.2016	10214	10310	10785	10415	0
235	4.11.2016	10208	10310	10667	10467	0
236	5.11.2016	10225	10303	10758	10481	0
237	6.11.2016	10223	10292	10662	10408	0
238	7.11.2016	10219	10291	10694	10357	0
239	8.11.2016	10233	10315	10642	10362	0
240	9.11.2016	10227	10324	10664	10434	0
241	10.11.2016	10221	10323	10758	10510	0
242	11.11.2016	10243	10320	10723	10418	0
243	12.11.2016	10233	10327	10838	10475	0
244	13.11.2016	10235	10324	10749	10476	0
245	14.11.2016	10241	10332	10812	10518	0
246	15.11.2016	10212	10280	10793	10460	0
247	16.11.2016	10200	10278	10742	10489	0
248	17.11.2016	10206	10287	10677	10438	0
249	18.11.2016	10207	10278	10741	10334	0
250	19.11.2016	10191	10273	10777	10465	0
251	20.11.2016	10191	10276	10654	10403	0
252	21.11.2016	10192	10277	10688	10377	0
253	22.11.2016	10190	10284	10764	10357	0
254	23.11.2016	10192	10280	10697	10372	0
255	24.11.2016	10182	10271	10675	10446	0
256	25.11.2016	10199	10275	10713	10355	0
257	26.11.2016	10189	10264	10624	10412	0
258	27.11.2016	10179	10275	10639	10277	0
259	28.11.2016	10176	10257	10639	10267	0
260	29.11.2016	10181	10266	10751	10395	0
261	30.11.2016	10184	10260	10624	10363	0
262	1.12.2016	10171	10242	10653	10441	0
263	2.12.2016	10176	10251	10715	10453	0
264	3.12.2016	10180	10251	10738	10356	0
265	4.12.2016	10177	10250	10732	10394	0
266	5.12.2016	10179	10243	10695	10340	0
267	6.12.2016	10158	10241	10731	10327	0
268	7.12.2016	10163	10235	10582	10369	0
269	8.12.2016	10168	10232	10760	10387	0
270	9.12.2016	10164	10247	10629	10420	0
271	10.12.2016	10159	10235	10724	10399	0
272	11.12.2016	10150	10242	10625	10384	0
273	12.12.2016	10161	10237	10604	10235	0
274	13.12.2016	10152	10222	10625	10427	0
275	14.12.2016	10159	10234	10658	10388	0
276	15.12.2016	10156	10234	10714	10436	0
277	16.12.2016	10143	10230	10737	10367	0
278	17.12.2016	10144	10213	10587	10384	0
279	18.12.2016	10143	10227	10754	10383	0
280	19.12.2016	10142	10228	10694	10369	0
281	20.12.2016	10150	10218	10684	10302	0
282	21.12.2016	10134	10222	10735	10364	0
283	22.12.2016	10135	10205	10696	10391	0
284	23.12.2016	10141	10214	10719	10287	0
285	24.12.2016	10138	10205	10669	10365	0
286	25.12.2016	10142	10199	10629	10233	0
287	26.12.2016	10130	10207	10711	10439	0
288	27.12.2016	10134	10195	10539	10370	0
289	28.12.2016	10120	10199	10727	10369	0
290	29.12.2016	10139	10223	10696	10442	0
291	30.12.2016	10135	10218	10588	10360	0
292	31.12.2016	10143	10208	10603	10403	0
293	1.01.2017	10145	10216	10593	10285	0
294	2.01.2017	10134	10193	10723	10417	0
295	3.01.2017	10135	10204	10629	10383	0
296	4.01.2017	10123	10195	10716	10376	0
297	5.01.2017	10134	10194	10649	10329	0
298	6.01.2017	10145	10216	10572	10308	0
299	7.01.2017	10127	10194	10717	10250	0
300	8.01.2017	10119	10191	10684	10405	0
301	9.01.2017	10124	10181	10663	10245	0
302	10.01.2017	10123	10189	10618	10279	0
303	11.01.2017	10126	10191	10605	10299	0
304	12.01.2017	10120	10189	10597	10330	0
305	13.01.2017	10119	10181	10610	10387	0
306	14.01.2017	10124	10183	10654	10403	0
307	15.01.2017	10115	10181	10605	10335	0
308	16.01.2017	10122	10178	10616	10272	0
309	17.01.2017	10116	10185	10708	10241	0
310	18.01.2017	10123	10192	10577	10304	0
311	19.01.2017	10108	10179	10588	10228	0
312	20.01.2017	10110	10177	10541	10179	0
313	21.01.2017	10119	10197	10568	10274	0
314	22.01.2017	10120	10190	10575	10316	0
315	23.01.2017	10129	10186	10627	10338	0
316	24.01.2017	10113	10190	10677	10318	0
317	25.01.2017	10112	10179	10672	10264	0
318	26.01.2017	10115	10190	10534	10336	0
319	27.01.2017	10115	10174	10551	10243	0
320	28.01.2017	10114	10196	10561	10364	0
321	29.01.2017	10120	10178	10595	10340	0
322	30.01.2017	10109	10183	10609	10265	0
323	31.01.2017	10117	10181	10567	10231	0
324	1.02.2017	10121	10183	10603	10276	0
325	2.02.2017	10122	10182	10562	10328	0
326	3.02.2017	10121	10183	10688	10311	0
327	4.02.2017	10118	10183	10540	10381	0
328	5.02.2017	10129	10186	10657	10334	0
329	6.02.2017	10126	10191	10619	10312	0
330	7.02.2017	10116	10180	10708	10379	0
331	8.02.2017	10124	10179	10688	10285	0
332	9.02.2017	10135	10180	10590	10402	0
333	10.02.2017	10132	10175	10632	10391	0
334	11.02.2017	10133	10190	10703	10333	0
335	12.02.2017	10126	10192	10678	10419	0
336	13.02.2017	10125	10194	10644	10232	0
337	14.02.2017	10119	10182	10647	10250	0
338	15.02.2017	10129	10172	10658	10281	0
339	16.02.2017	10137	10182	10566	10213	0
340	17.02.2017	10129	10184	10676	10411	0
341	18.02.2017	10134	10179	10691	10255	0
342	19.02.2017	10128	10189	10621	10286	0
343	20.02.2017	10137	10186	10720	10429	0
344	21.02.2017	10127	10180	10637	10329	0
345	22.02.2017	10116	10187	10698	10293	0
346	23.02.2017	10130	10177	10554	10195	0
347	24.02.2017	10124	10190	10565	10304	0
348	25.02.2017	10104	10167	10691	10333	0
349	26.02.2017	10102	10166	10621	10346	0
350	27.02.2017	10108	10143	10561	10282	0
351	28.02.2017	10080	10126	10518	10198	0
352	1.03.2017	10084	10147	10514	10211	0
353	2.03.2017	10070	10130	10656	10225	0
354	3.03.2017	10079	10135	10625	10188	0
355	4.03.2017	10065	10135	10529	10242	0
356	5.03.2017	10072	10130	10621	10207	0
357	6.03.2017	10062	10125	10655	10224	0
358	7.03.2017	10063	10104	10583	10266	0
359	8.03.2017	10055	10101	10638	10252	0
360	9.03.2017	10053	10108	10632	10277	0
361	10.03.2017	10048	10085	10633	10307	0
362	11.03.2017	10051	10103	10589	10291	0
363	12.03.2017	10045	10088	10641	10190	0
364	13.03.2017	10045	10085	10569	10248	0
365	14.03.2017	10047	10099	10466	10164	0
366	15.03.2017	10023	10091	10587	10222	0
367	16.03.2017	10027	10083	10497	10203	0
368	17.03.2017	10025	10082	10447	10270	0
369	18.03.2017	10018	10075	10606	10314	0
370	19.03.2017	10032	10083	10595	10152	0
371	20.03.2017	10029	10091	10547	10281	0
372	21.03.2017	10043	10083	10485	10201	0
373	22.03.2017	10031	10091	10579	10283	0
374	23.03.2017	10029	10084	10643	10221	0
375	24.03.2017	10034	10097	10558	10232	0
376	25.03.2017	10025	10073	10549	10130	0
377	26.03.2017	10015	10062	10460	10123	0
378	27.03.2017	10013	10075	10558	10191	0
379	28.03.2017	10028	10062	10463	10115	0
380	29.03.2017	10021	10059	10589	10130	0
381	30.03.2017	10013	10062	10470	10147	0
382	31.03.2017	10023	10062	10502	10221	0
383	1.04.2017	10011	10060	10445	10212	0
384	2.04.2017	10020	10061	10523	10122	0
385	3.04.2017	10013	10067	10498	10187	0
386	4.04.2017	10014	10070	10495	10191	0
387	5.04.2017	10002	10047	10609	10276	0
388	6.04.2017	10014	10053	10558	10212	0
389	7.04.2017	9999	10058	10465	10216	0
390	8.04.2017	10010	10038	10462	10200	0
391	9.04.2017	9998	10050	10509	10192	0
392	10.04.2017	9992	10044	10592	10185	0
393	11.04.2017	9997	10032	10578	10268	0
394	12.04.2017	9995	10043	10567	10235	0
395	13.04.2017	9999	10035	10421	10245	0
396	14.04.2017	9988	10039	10460	10179	0
397	15.04.2017	9988	10033	10589	10223	0
398	16.04.2017	10006	10038	10572	10157	0
399	17.04.2017	9996	10031	10598	10164	0
400	18.04.2017	10004	10044	10613	10141	0
401	19.04.2017	9992	10042	10597	10210	0
402	20.04.2017	10012	10051	10583	10212	0
403	21.04.2017	10000	10048	10507	10134	0
404	22.04.2017	10011	10042	10500	10248	0
405	23.04.2017	10004	10040	10564	10135	0
406	24.04.2017	10008	10053	10587	10182	0
407	25.04.2017	10010	10045	10414	10236	0
408	26.04.2017	10009	10036	10554	10270	0
409	27.04.2017	10003	10034	10610	10136	0
410	28.04.2017	9991	10044	10521	10145	0
411	29.04.2017	9995	10027	10497	10228	0
412	30.04.2017	9988	10025	10583	10162	0
413	1.05.2017	9992	10039	10516	10107	0
414	2.05.2017	9993	10038	10502	10170	0
415	3.05.2017	9996	10034	10495	10108	0
416	4.05.2017	9982	10023	10573	10133	0
417	5.05.2017	9984	10015	10544	10089	0
418	6.05.2017	9977	10016	10504	10213	0
419	7.05.2017	9981	10021	10585	10114	0
420	8.05.2017	9977	10007	10418	10083	0
421	9.05.2017	9975	10015	10435	10136	0
422	10.05.2017	9980	10014	10532	10174	0
423	11.05.2017	9969	10001	10484	10056	0
424	12.05.2017	9966	10010	10502	10192	0
425	13.05.2017	9976	9996	10514	10158	0
426	14.05.2017	9978	10009	10427	10151	0
427	15.05.2017	9963	9999	10481	10131	0
428	16.05.2017	9968	10005	10530	10105	0
429	17.05.2017	9973	10005	10473	10173	0
430	18.05.2017	9965	9991	10499	10237	0
431	19.05.2017	9966	9986	10427	10147	0
432	20.05.2017	9954	10003	10567	10194	0
433	21.05.2017	9958	9989	10378	10166	0
434	22.05.2017	9958	9992	10471	10165	0
435	23.05.2017	9954	9991	10457	10065	0
436	24.05.2017	9950	9985	10431	10184	0
437	25.05.2017	9948	9989	10519	10151	0
438	26.05.2017	9956	9990	10483	10180	0
439	27.05.2017	9957	9979	10549	10185	0
440	28.05.2017	9957	9986	10482	10181	0
441	29.05.2017	9938	9977	10385	10152	0
442	30.05.2017	9945	9976	10400	10022	0
443	31.05.2017	9934	9965	10371	10141	0
444	1.06.2017	9938	9964	10474	10062	0
445	2.06.2017	9949	9963	10482	10089	0
446	3.06.2017	9936	9965	10497	10223	0
447	4.06.2017	9945	9965	10532	10213	0
448	5.06.2017	9944	9967	10421	10043	0
449	6.06.2017	9931	9968	10485	10196	0
450	7.06.2017	9935	9963	10480	10052	0
451	8.06.2017	9937	9965	10524	10182	0
452	9.06.2017	9930	9960	10485	10047	0
453	10.06.2017	9938	9964	10365	10051	0
454	11.06.2017	9935	9945	10397	10012	0
455	12.06.2017	9918	9948	10392	10057	0
456	13.06.2017	9917	9948	10407	10082	0
457	14.06.2017	9911	9939	10454	10128	0
458	15.06.2017	9914	9942	10334	10121	0
459	16.06.2017	9907	9937	10374	10060	0
460	17.06.2017	9924	9949	10327	10054	0
461	18.06.2017	9921	9940	10476	10050	0
462	19.06.2017	9903	9934	10327	10120	0
463	20.06.2017	9913	9925	10359	10057	0
464	21.06.2017	9904	9928	10392	10168	0
465	22.06.2017	9924	9946	10529	10109	0
466	23.06.2017	9927	9958	10467	10092	0
467	24.06.2017	9924	9957	10476	10180	0
468	25.06.2017	9929	9950	10493	10078	0
469	26.06.2017	9924	9953	10511	10139	0
470	27.06.2017	9929	9967	10543	10212	0
471	28.06.2017	9938	9950	10400	10061	0
472	29.06.2017	9906	9923	10459	10082	0
473	30.06.2017	9908	9911	10512	10206	0
474	1.07.2017	9900	9930	10450	10010	0
475	2.07.2017	9889	9912	10443	10125	0
476	3.07.2017	9890	9910	10377	10044	0
477	4.07.2017	9891	9919	10346	10031	0
478	5.07.2017	9884	9911	10356	9956	0
479	6.07.2017	9889	9912	10482	10089	0
480	7.07.2017	9895	9909	10437	9996	0
481	8.07.2017	9890	9912	10430	10104	0
482	9.07.2017	9890	9899	10392	10069	0
483	10.07.2017	9880	9900	10461	10035	0
484	11.07.2017	9886	9898	10475	10050	0
485	12.07.2017	9875	9894	10368	10059	0
486	13.07.2017	9878	9893	10388	10037	0
487	14.07.2017	9882	9898	10343	10065	0
488	15.07.2017	9870	9881	10420	10018	0
489	16.07.2017	9862	9874	10473	9984	0
490	17.07.2017	9864	9881	10347	10074	0
491	18.07.2017	9880	9886	10400	10124	0
492	19.07.2017	9860	9876	10409	10025	0
493	20.07.2017	9864	9881	10339	10073	0
494	21.07.2017	9857	9873	10437	10102	0
495	22.07.2017	9858	9865	10334	10075	0
496	23.07.2017	9867	9880	10337	10125	0
497	24.07.2017	9872	9888	10290	9968	0
498	25.07.2017	9882	9883	10447	10007	0
499	26.07.2017	9876	9893	10334	10071	0
500	27.07.2017	9883	9880	10310	10077	0
501	28.07.2017	9885	9886	10291	9947	0
502	29.07.2017	9869	9885	10393	10047	0
503	30.07.2017	9879	9886	10489	10037	0
504	31.07.2017	9888	9902	10455	10075	0
505	1.08.2017	9889	9897	10456	10091	0
506	2.08.2017	9889	9894	10473	10005	0
507	3.08.2017	9878	9902	10434	10037	0
508	4.08.2017	9903	9906	10416	10097	0
509	5.08.2017	9876	9890	10404	9990	0
510	6.08.2017	9878	9893	10433	10068	0
511	7.08.2017	9892	9890	10418	10147	0
512	8.08.2017	9871	9886	10317	10095	0
513	9.08.2017	9868	9877	10326	9943	0
514	10.08.2017	9866	9879	10400	9994	0
515	11.08.2017	9868	9872	10421	9986	0
516	12.08.2017	9868	9876	10442	10147	0
517	13.08.2017	9861	9886	10329	10002	0
518	14.08.2017	9860	9869	10287	10082	0
519	15.08.2017	9862	9880	10448	10047	0
520	16.08.2017	9854	9853	10417	9973	0
521	17.08.2017	9871	9870	10339	10008	0
522	18.08.2017	9852	9867	10326	10006	0
523	19.08.2017	9837	9855	10275	10035	0
524	20.08.2017	9881	9873	10344	9993	0
525	21.08.2017	9863	9875	10286	10022	0
526	22.08.2017	9863	9869	10463	10027	0
527	23.08.2017	9877	9885	10414	9989	0
528	24.08.2017	9868	9867	10415	10091	0
529	25.08.2017	9851	9876	10280	9990	0
530	26.08.2017	9843	9855	10277	10092	0
531	27.08.2017	9834	9843	10365	10090	0
532	28.08.2017	9850	9848	10282	9991	0
533	29.08.2017	9822	9838	10380	10015	0
534	30.08.2017	9824	9835	10408	10016	0
535	31.08.2017	9812	9811	10407	10030	0
536	1.09.2017	9818	9820	10271	9991	0
537	2.09.2017	9822	9819	10384	9927	0
538	3.09.2017	9809	9825	10268	9991	0
539	4.09.2017	9809	9808	10375	9985	0
540	5.09.2017	9810	9816	10304	9987	0
541	6.09.2017	9815	9819	10291	10051	0
542	7.09.2017	9794	9807	10281	9901	0
543	8.09.2017	9798	9810	10278	9893	0
544	9.09.2017	9807	9793	10292	9900	0
545	10.09.2017	9802	9796	10238	9988	0
546	11.09.2017	9805	9804	10339	9915	0
547	12.09.2017	9788	9801	10369	10039	0
548	13.09.2017	9784	9788	10244	9990	0
549	14.09.2017	9776	9775	10378	9911	0
550	15.09.2017	9789	9792	10362	9892	0
551	16.09.2017	9783	9789	10222	10021	0
552	17.09.2017	9793	9789	10356	10075	0
553	18.09.2017	9782	9794	10236	9939	0
554	19.09.2017	9791	9786	10226	9919	0
555	20.09.2017	9787	9794	10391	10071	0
556	21.09.2017	9796	9791	10323	9879	0
557	22.09.2017	9767	9783	10196	9973	0
558	23.09.2017	9776	9777	10389	9926	0
559	24.09.2017	9770	9774	10220	9961	0
560	25.09.2017	9766	9770	10342	10017	0
561	26.09.2017	9780	9777	10357	9900	0
562	27.09.2017	9781	9773	10226	10014	0
563	28.09.2017	9771	9758	10218	9941	0
564	29.09.2017	9776	9776	10319	10013	0
565	30.09.2017	9778	9759	10225	9906	0
566	1.10.2017	9787	9776	10373	9999	0
567	2.10.2017	9779	9773	10212	9829	0
568	3.10.2017	9776	9781	10345	9995	0
569	4.10.2017	9781	9770	10278	9860	0
570	5.10.2017	9777	9770	10378	9877	0
571	6.10.2017	9765	9764	10317	9949	0
572	7.10.2017	9780	9773	10342	10019	0
573	8.10.2017	9762	9763	10323	9859	0
574	9.10.2017	9767	9768	10318	9852	0
575	10.10.2017	9769	9771	10301	9985	0
576	11.10.2017	9761	9767	10182	9981	0
577	12.10.2017	9767	9757	10305	9933	0
578	13.10.2017	9763	9757	10188	9979	0
579	14.10.2017	9767	9750	10330	9976	0
580	15.10.2017	9754	9746	10229	9932	0
581	16.10.2017	9766	9755	10201	9822	0
582	17.10.2017	9747	9747	10220	9876	0
583	18.10.2017	9753	9750	10228	9899	0
584	19.10.2017	9742	9744	10367	9976	0
585	20.10.2017	9739	9738	10351	9887	0
586	21.10.2017	9752	9740	10251	10009	0
587	22.10.2017	9737	9742	10174	9847	0
588	23.10.2017	9751	9732	10249	9924	0
589	24.10.2017	9741	9730	10201	9825	0
590	25.10.2017	9730	9728	10338	9913	0
591	26.10.2017	9735	9717	10330	9930	0
592	27.10.2017	9731	9715	10267	9819	0
593	28.10.2017	9740	9722	10292	9910	0
594	29.10.2017	9735	9711	10291	10001	0
595	30.10.2017	9734	9707	10223	9972	0
596	31.10.2017	9733	9716	10181	9798	0
597	1.11.2017	9732	9711	10315	9925	0
598	2.11.2017	9743	9720	10172	9835	0
599	3.11.2017	9718	9716	10298	9859	0
600	4.11.2017	9723	9709	10243	9959	0
601	5.11.2017	9713	9717	10157	9858	0
602	6.11.2017	9716	9705	10324	10012	0
603	7.11.2017	9719	9721	10280	9882	0
604	8.11.2017	9721	9711	10154	9912	0
605	9.11.2017	9734	9706	10159	9891	0
